Data Medicao,"PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MEDIA COMPENSADA, DIARIA(Â°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)"
2024-04-01,0,21.2,74.3
2024-04-02,13.4,18.4,98
2024-04-03,0,22.5,79
2024-04-04,0,22.1,87.8
2024-04-05,0,18.2,96
2024-04-06,2.2,16.8,76.5
2024-04-07,31.8,17.2,90.5
2024-04-08,0.8,21.2,87
2024-04-09,0,22.1,85.3
2024-04-10,0,19.3,90.8
2024-04-11,3.4,16.4,98
2024-04-12,7.1,17.6,91.5
2024-04-13,0.6,19.6,90.3
2024-04-14,13.8,20.8,83.8
2024-04-15,0,22,82.8
2024-04-16,3.9,21.2,93.5
2024-04-17,39.4,15.4,64
2024-04-18,0,15.3,70.5
2024-04-19,0,17.2,73.5
2024-04-20,0,17.6,71
2024-04-21,0,18.9,72
2024-04-22,0,19.5,74.5
2024-04-23,0,21.4,83.8
2024-04-24,22,18,100
2024-04-25,0.7,17.4,82.8
2024-04-26,3,22,79
2024-04-27,0,22,83
2024-04-28,40.6,15.8,95
2024-04-29,4.3,18.5,94.5
2024-04-30,132.8,18.1,96
2024-05-01,148.1,18,94.5
2024-05-02,266.2,17.8,97.5
2024-05-03,35.6,15.5,98.5
2024-05-04,27.5,17.3,94.5
2024-05-05,38.8,21.6,79
2024-05-06,5.4,23.2,62
2024-05-07,0,23.8,63
2024-05-08,0,22,78.8
2024-05-09,18.6,13.5,90.8
2024-05-10,5,14.7,98.3
2024-05-11,37.4,17.3,97.5
2024-05-12,139.2,15.8,98
2024-05-13,59.2,12.7,97.5
2024-05-14,11,7.3,81.8
2024-05-15,0,8.1,76.8
2024-05-16,0,11.6,96.8
2024-05-17,23.5,10.8,92.3
2024-05-18,2.9,8.5,91
2024-05-19,0.8,11.2,96.5
2024-05-20,1.4,11,86.8
2024-05-21,0,17.4,74.3
2024-05-22,0,21.4,68
2024-05-23,15.4,20,91.3
2024-05-24,40.2,12.7,90
2024-05-25,9.7,8,94
2024-05-26,0.6,8.4,90
2024-05-27,7.8,11.6,94.5
2024-05-28,16.5,8.2,92.8
2024-05-29,7.8,10.2,90.5
2024-05-30,0.5,9.9,85
2024-05-31,0,13.1,68.3
2024-06-01,0,14.4,63.3
2024-06-02,0,17.8,65.8
2024-06-03,0.1,10.2,97
2024-06-04,7.4,10.1,79.5
2024-06-05,0,16,90.5
2024-06-06,0,19.3,75.8
2024-06-07,0,19.1,69.5
2024-06-08,0,19,69
2024-06-09,0,20.3,74
2024-06-10,0,19.8,83
2024-06-11,0,20.8,70.8
2024-06-12,0,20.5,63.8
2024-06-13,0,20.3,61.3
2024-06-14,0,21.4,53.5
2024-06-15,0,20,85.8
2024-06-16,57.2,16.1,95.5
2024-06-17,107,17.5,91.5
2024-06-18,11.4,17.2,83
2024-06-19,13,16.5,92.9
2024-06-20,0.8,16.6,94.4
2024-06-21,44.6,16.5,85.8
2024-06-22,3.2,20.4,63.3
2024-06-23,0,20.3,81.5
2024-06-24,29,11.3,95.3
2024-06-25,5.5,7.3,90.5
2024-06-26,32.5,9,93.3
2024-06-27,0.4,10.1,66.8
2024-06-28,0,11.3,89
2024-06-29,0,4.6,60.3
2024-06-30,0,3.8,64.3
2024-07-01,0,9.9,47.8
2024-07-02,0,14.6,46.5
2024-07-03,3.5,14.5,96.3
2024-07-04,3.1,10.4,91.3
2024-07-05,0.6,7.3,97
2024-07-06,8.3,4.8,83.8
2024-07-07,0.2,6.4,100
2024-07-08,2.4,4.9,95.5
2024-07-09,1.1,2.8,100
2024-07-10,20.4,5.5,94.8
2024-07-11,1.3,6,96.5
2024-07-12,6.6,5.8,90.8
2024-07-13,0.3,7.6,100
2024-07-14,13.9,10,97.3
2024-07-15,4.6,10.6,88
2024-07-16,1.2,13.5,85
2024-07-17,0,13.6,85.5
2024-07-18,0,13.3,70.8
2024-07-19,0,16.8,68.5
2024-07-20,0,14.5,85.3
2024-07-21,0,16.2,66.8
2024-07-22,0,18,72.3
2024-07-23,0,20.2,55.8
2024-07-24,0,19,53
2024-07-25,0,17.8,69
2024-07-26,0,18.4,72
2024-07-27,0,19.2,67
2024-07-28,0,15.3,97
2024-07-29,14.1,8.8,100
2024-07-30,2,10.8,80.3
2024-07-31,0,14.3,71.3
2024-08-01,0,19.2,64.5
2024-08-02,0,19.1,61.8
2024-08-03,0,21.2,57.8
2024-08-04,1.6,16.8,96.5
2024-08-05,1.6,19.6,71.8
2024-08-06,16.6,19.4,80.8
2024-08-07,10.4,15.4,85.3
2024-08-08,11.7,11.2,95
2024-08-09,2.9,6.1,74.8
2024-08-10,1.1,6.6,87
2024-08-11,0,8,72.5
2024-08-12,0,4.9,64
2024-08-13,0,7.7,66
2024-08-14,0,13.5,55.5
2024-08-15,0,17.8,49.3
2024-08-16,0,21.2,55
2024-08-17,0,16,89.5
2024-08-18,0,23.4,48.8
2024-08-19,0,23.2,62.5
2024-08-20,4.4,15.4,94
2024-08-21,0.2,20.6,62.8
2024-08-22,0,16.4,93.5
2024-08-23,38.6,9,96
2024-08-24,16.2,6,87.3
2024-08-25,0,5.4,65.8
2024-08-26,0,6.6,72.5
2024-08-27,0,10.2,70.8
2024-08-28,0,12.9,77.5
2024-08-29,0,17.6,67
2024-08-30,0,16.9,82.3
2024-08-31,0,20.9,62
2024-09-01,1.1,14.6,71.3
2024-09-02,0,13.3,75.8
2024-09-03,0,17.4,66.5
2024-09-04,0,13.3,93
2024-09-05,30.2,9.3,83.3
2024-09-06,0.3,15,65.8
2024-09-07,8.7,18.7,80.5
2024-09-08,0,20.8,73.5
2024-09-09,0,23.2,55
2024-09-10,0,25.3,50
2024-09-11,0,23.2,64.5
2024-09-12,0.2,16.7,90.3
2024-09-13,14.8,18.2,91.5
2024-09-14,29.7,14.5,90
2024-09-15,1.6,11.5,80.8
2024-09-16,0,14.2,83.5
2024-09-17,0,15.9,64.8
2024-09-18,0,17.2,64.3
2024-09-19,0,18.5,70.5
2024-09-20,26.5,16,90.5
2024-09-21,5.1,17.7,88.3
2024-09-22,0,23.9,62.8
2024-09-23,0,22.8,75.3
2024-09-24,0,21.4,76.8
2024-09-25,0,20.7,88
2024-09-26,20.9,16.6,98
2024-09-27,15.1,14.5,76.3
2024-09-28,0,17.3,62.8
2024-09-29,0,20.6,53.3
2024-09-30,0,23.7,48.5
2024-10-01,0,20.3,85
2024-10-02,29.7,14.6,95.5
2024-10-03,5.4,10.4,69
2024-10-04,0,13.7,71.3
2024-10-05,0,17,65
2024-10-06,0,17.1,81.3
2024-10-07,0,16.2,82.8
2024-10-08,15.1,16.4,95
2024-10-09,6.9,14.2,91.8
2024-10-10,9.4,17.3,79
2024-10-11,5.7,17.8,91.8
2024-10-12,4.7,15.9,79.3
2024-10-13,0,18.3,67.8
2024-10-14,0,19.6,63.5
2024-10-15,0,17.1,87
2024-10-16,4.2,17.2,85
2024-10-17,0,17.6,79.5
2024-10-18,0,16.6,78.8
2024-10-19,0.5,16.4,80.3
2024-10-20,0,19.5,68.5
2024-10-21,0,23,63
2024-10-22,0,23.4,72.5
2024-10-23,0,24,80.5
2024-10-24,5.2,21.8,84
2024-10-25,36,18.2,76.3
2024-10-26,0,13.4,64.3
2024-10-27,0,15.1,53.5
2024-10-28,0,18.8,78.3
2024-10-29,0,19.8,78.5
2024-10-30,0,20.3,72
2024-10-31,0,22,65
2024-11-01,0,22.6,54.8
2024-11-02,0,21.8,77.5
2024-11-03,5.9,20.1,83
2024-11-04,0,22.6,70.3
2024-11-05,0,22.3,83.5
2024-11-06,19.8,21.8,86.3
2024-11-07,0,20.8,92.3
2024-11-08,18.3,15,94.8
2024-11-09,2.1,15.2,77.3
2024-11-10,0,20.3,71.3
2024-11-11,0,20.6,69.5
2024-11-12,1.8,13.4,62
2024-11-13,0,15.3,53.5
2024-11-14,0,17.9,57.8
2024-11-15,0,21.3,61.5
2024-11-16,0,23.2,68.8
2024-11-17,0,25.8,57.5
2024-11-18,0.7,21.8,80.8
2024-11-19,0.2,17.7,94
2024-11-20,51.9,15,90.3
2024-11-21,6.7,17.8,75
2024-11-22,0,17.9,85.8
2024-11-23,1.5,19.3,71.8
2024-11-24,0,21.9,55.5
2024-11-25,0,22.2,63.5
2024-11-26,0,23.9,70.6
2024-11-27,0,24.7,72.6
2024-11-28,5.3,21,91.1
2024-11-29,18.2,21.2,89
2024-11-30,0,19.5,86.4
2024-12-01,0.2,24.6,73.1
2024-12-02,33.4,18.9,93.7
2024-12-03,0.2,17.2,77.2
2024-12-04,0,17.2,80.7
2024-12-05,0,22.4,71.4
2024-12-06,0,22.3,80.5
2024-12-07,39.7,16.9,96
2024-12-08,1.5,11.6,92.2
2024-12-09,15.8,11.4,89.7
2024-12-10,0.8,19.1,84.7
2024-12-11,0.1,19,75.6
2024-12-12,0,21.4,67.8
2024-12-13,0,21.1,75
2024-12-14,25.2,20.2,86
2024-12-15,19.2,17.1,81.3
2024-12-16,6.4,16.1,95
2024-12-17,9.8,17.4,78
2024-12-18,0,20.2,73.3
2024-12-19,0,20.5,75
2024-12-20,7.3,21.6,76.3
2024-12-21,0,19.8,87.3
2024-12-22,22.2,14.2,94.8
2024-12-23,2.1,17.6,71
2024-12-24,0,20.7,74
2024-12-25,29.5,18.2,74
2024-12-26,1.5,18.5,62.5
2024-12-27,0,19.9,64
2024-12-28,0,20.2,71.5
2024-12-29,0,19.2,75.5
2024-12-30,0,20.7,74
2024-12-31,0,21.3,79
2025-01-01,10.4,22.1,71.8
2025-01-02,51,22.2,75.5
2025-01-03,0,22,61.3
2025-01-04,0,19.4,60.2
2025-01-05,0,18.6,72.5
2025-01-06,0,18.2,71.5
2025-01-07,0,19.3,73.5
2025-01-08,0,19.8,76
2025-01-09,7.9,20.6,72.8
2025-01-10,0,20.8,72.5
2025-01-11,0,19.4,81.3
2025-01-12,3.1,18.4,73.3
2025-01-13,0,19.7,69.3
2025-01-14,0,21.2,67
2025-01-15,0,22.8,68.8
2025-01-16,0,22.3,72.3
2025-01-17,1.7,24.2,75
2025-01-18,4.1,24.5,80
2025-01-19,8.3,25.2,67.5
2025-01-20,37.8,23.1,76.8
2025-01-21,0,22.7,69.5
2025-01-22,0,24.3,67
2025-01-23,0,25.4,65.3
2025-01-24,0,23.4,74.5
2025-01-25,0.1,22.5,81.8
2025-01-26,1.2,21.8,78.5
2025-01-27,0,22.1,78.5
2025-01-28,16.9,21.6,89
2025-01-29,17.2,22.3,84.3
2025-01-30,0.2,19.3,95.5
2025-01-31,1.3,20.5,83
2025-02-01,0.4,21.9,82.8
2025-02-02,1.6,23.2,76.5
2025-02-03,0.1,24.1,74.7
2025-02-04,0.1,25.4,69.1
2025-02-05,0,25.6,65.6
2025-02-06,1.4,23.7,80.2
2025-02-07,0.3,21.8,82.5
2025-02-08,0,23.2,71.8
2025-02-09,0,25.6,65.7
2025-02-10,0,26.2,62.9
2025-02-11,3.7,25.9,65.6
2025-02-12,4.2,21.8,88.8
2025-02-13,5.8,20.9,87.8
2025-02-14,0.3,21.7,82.1
2025-02-15,16.8,21.9,83
2025-02-16,0,23.8,84.7
2025-02-17,35,20.3,94.8
2025-02-18,3.7,18.7,90.4
2025-02-19,0,20.5,83.3
2025-02-20,0,21.6,82.8
2025-02-21,0,22.9,74.6
2025-02-22,0,23,76.2
2025-02-23,0.3,23.6,75.4
2025-02-24,0,24.4,69.5
2025-02-25,0.3,24.7,71.7
2025-02-26,5.6,24.3,78.8
2025-02-27,0.2,22.7,86.7
2025-02-28,3.7,23.5,83.5
2025-03-01,0.7,25.2,74
2025-03-02,1.4,25.7,78.8
2025-03-03,0,26.5,68.9
2025-03-04,0,25.9,58.8
2025-03-05,0,25.6,55.3
2025-03-06,0,24.6,62
2025-03-07,0,25,60.8
2025-03-08,0,25.9,61
2025-03-09,0,20.2,99.5
2025-03-10,16.9,17.3,81.8
2025-03-11,0,20,85
2025-03-12,0,18.9,90
2025-03-13,0,17.8,87.3
2025-03-14,0,16.8,64.5
2025-03-15,0,16.6,81.2
2025-03-16,0,18.9,78.3
2025-03-17,0,20.8,77.3
2025-03-18,0.3,18.8,81.8
2025-03-19,0,17.8,70.5
2025-03-20,0,19.4,56.3
2025-03-21,0,20.6,70.8
2025-03-22,0,22,61.5
2025-03-23,0,22.8,68.3
2025-03-24,0,23.4,61.8
2025-03-25,0,19.8,81
2025-03-26,0,21.3,74.8
2025-03-27,0,21.8,72.3
2025-03-28,8.6,22.3,74.3
2025-03-29,0,21.7,85.5
2025-03-30,0,24.3,72.8
2025-03-31,0,22.2,82.8
2025-04-01,26.1,18.2,96.5
2025-04-02,0.3,20.9,85.8
2025-04-03,41,18.2,90.5
2025-04-04,3.9,11.2,79.3
2025-04-05,0.3,13.6,73.5
2025-04-06,0,16.4,68
2025-04-07,0,16.2,90
2025-04-08,41,17.2,89.3
2025-04-09,14.1,17.5,86.8
2025-04-10,0,18.8,83.3
2025-04-11,0,19.5,76
2025-04-12,0,19.8,77.9
2025-04-13,4.9,17.8,93
2025-04-14,1,14.4,79
2025-04-15,0,17.5,82
2025-04-16,0,17.8,88
2025-04-17,0,18.9,83
2025-04-18,0,20,81.3
2025-04-19,1,15.9,98.5
2025-04-20,1,12,78
2025-04-21,0,12.7,77.3
2025-04-22,0,14.9,79
2025-04-23,0,16.4,80.1
2025-04-24,0,17,81.6
2025-04-25,0,17.2,78.4
2025-04-26,0.1,18,79.7
2025-04-27,5.8,18.6,87.6
2025-04-28,1.1,13.21,74.5
2025-04-29,0,11.1,72.1
2025-04-30,0,12,73.3
2025-05-01,0,13.5,74.4
2025-05-02,0,15.1,72.8
2025-05-03,0,16.9,69.9
2025-05-04,0,17.2,67.8
2025-05-05,0,17.8,69.5
2025-05-06,0,18.9,67.5
2025-05-07,0,19.5,72.8
2025-05-08,0,20.3,72.7
2025-05-09,25.6,16.7,90.5
2025-05-10,0.7,14.6,80.7
2025-05-11,0.1,11.5,82.1
2025-05-12,0,12.8,74.6
2025-05-13,0,15,78.1
2025-05-14,0,17.1,77.8
2025-05-15,0,16.3,75.2
2025-05-16,0,16.7,72.7
2025-05-17,0,17.4,73.7
2025-05-18,7,18.1,82
2025-05-19,1.8,16.3,93.4
2025-05-20,11.7,15.5,98.6
2025-05-21,0.3,12.6,95.4
2025-05-22,0,9.5,94.2
2025-05-23,0,10.5,93.6
2025-05-24,8.3,13.6,94.2
2025-05-25,16.1,16.7,94.5
2025-05-26,2,17.1,93.8
2025-05-27,6.4,18,90.2
2025-05-28,26.7,13.5,97.3
2025-05-29,17.4,6,94.4
2025-05-30,0,6,86.1
2025-05-31,0,9.2,85.9
2025-06-01,0,8.4,87.3
2025-06-02,0.5,11.7,88.1
2025-06-03,7.8,14.7,94
2025-06-04,1.9,15.5,95
2025-06-05,20.9,14.7,97.7
2025-06-06,0.1,10.9,91
2025-06-07,0,10,93.1
2025-06-08,0.2,9.7,96.8
2025-06-09,0,8.5,90.6
2025-06-10,0,6.9,85.3
2025-06-11,0,6.5,88.2
2025-06-12,0,9.1,82.3
2025-06-13,0,11.6,76.5
2025-06-14,14.1,14.9,77.7
2025-06-15,15.6,12.7,96.4
2025-06-16,0,12.8,82.3
2025-06-17,7.8,17.2,92.4
2025-06-18,9.1,15.6,98.8
2025-06-19,19.3,14.3,99.6
2025-06-20,13.1,13.6,99.2
2025-06-21,0.6,11.2,94.4
2025-06-22,34.9,11.5,96.9
2025-06-23,10.5,8.8,83.5
2025-06-24,0,2.8,74.4
2025-06-25,0,7.7,65.3
2025-06-26,7.1,8.8,94.3
2025-06-27,0,8.9,90.8
2025-06-28,59.8,12.3,96.7
2025-06-29,45.4,11.4,97.8
2025-06-30,2.6,5.1,96.9
2025-07-01,0,1.1,79.4
2025-07-02,0,3.2,85.5
2025-07-03,0.1,7.8,87.1
2025-07-04,0,9.4,86.4
2025-07-05,0,10.3,87.1
2025-07-06,0,9.7,87.7
2025-07-07,0,11.8,84
2025-07-08,0.3,12,88.1
2025-07-09,0,10.4,87.1
2025-07-10,0.2,12.1,82.9
2025-07-11,0,13.8,83.9
2025-07-12,0.3,13.3,91.3
2025-07-13,0.6,14.9,83.9
2025-07-14,2.3,14.7,85
2025-07-15,0,15.5,80.4
2025-07-16,0,16.2,76
2025-07-17,7.1,12.9,87.6
2025-07-18,2.5,8.5,97.9
2025-07-19,0,10.6,85.4
2025-07-20,0,13,79.3
2025-07-21,0,13.8,79.4
2025-07-22,0.1,13.9,84.6
2025-07-23,0.3,10.4,95.3
2025-07-24,1.4,10.6,92
2025-07-25,0.1,14.5,87.8
2025-07-26,4.4,16.5,87.8
2025-07-27,21,14.8,98.4
2025-07-28,15.1,9.6,98.8
2025-07-29,0.7,7.3,86.9
2025-07-30,0,7.9,81.9
2025-07-31,0,11.4,73.5
2025-08-01,0,14.3,66.2
2025-08-02,1.9,18.4,71.7
2025-08-03,10.3,15.5,95.6
2025-08-04,24.2,12.5,99.6
2025-08-05,2.4,10.5,97.7
2025-08-06,1.3,12.9,90.5
2025-08-07,12.2,13,95.5
2025-08-08,6.5,8.1,98.6
2025-08-09,1,6.3,95.3
2025-08-10,0.1,8.3,84.4
2025-08-11,0,8.2,85.8
2025-08-12,0,10.2,81.7
2025-08-13,0,12,81.8
2025-08-14,0.3,8.7,95.1
2025-08-15,0,10.2,84.3
2025-08-16,0,13.3,82.7
2025-08-17,0,15,81.9
2025-08-18,0,15.1,83
2025-08-19,0.3,16.9,77.8
2025-08-20,3.9,16.6,76.5
2025-08-21,0.1,15.8,77.6
2025-08-22,5.7,21.7,70.1
2025-08-23,30.2,13.9,88.3
2025-08-24,4.8,7.3,95.4
2025-08-25,0,9.1,86
2025-08-26,0.1,9.4,72.9
2025-08-27,1,13.2,85.5
2025-08-28,0.1,14.4,85.7
2025-08-29,0,15.7,80.2
2025-08-30,0,17.2,73.1
2025-08-31,0,17.9,73.5
2025-09-01,0,18.9,71.7
2025-09-02,0.6,19.4,73.4
2025-09-03,1.7,20.1,77.9
2025-09-04,29,14,98
2025-09-05,6.2,7,98.2
2025-09-06,0,6.4,85
2025-09-07,0,12.5,84.4
2025-09-08,24.5,14.9,97.6
2025-09-09,18.7,13,90.3
2025-09-10,0,13.4,77.5
2025-09-11,0,14.5,75.6
2025-09-12,0,10.8,74.7
2025-09-13,0,13.2,77
2025-09-14,1.5,15.3,80.9
2025-09-15,11.9,15.6,90.8
2025-09-16,0.8,15.9,95
2025-09-17,0,16.6,81.8
2025-09-18,0,17.6,76
2025-09-19,0.3,18.6,77.5
2025-09-20,11.4,19.3,85.1
2025-09-21,19.7,16.9,97.4
2025-09-22,27.7,12.2,95.2
2025-09-23,0,11.6,80.7
2025-09-24,0,11.9,80.5
2025-09-25,0,11.9,80.1
2025-09-26,0,13.3,73
2025-09-27,1.2,15.8,70.4
2025-09-28,7.8,15.4,94
2025-09-29,0,16.3,78.9
2025-09-30,18.7,15.9,95.1
2025-10-01,0.9,16.4,97.6
2025-10-02,0.3,18.1,87.3
2025-10-03,2.6,17.4,94.4
2025-10-04,3.4,19.6,85.1
2025-10-05,0,23.5,71.4
2025-10-06,20.3,15.5,96.2
2025-10-07,0.5,11,85.9
2025-10-08,0,11.2,72.1
2025-10-09,0.2,14,81.4
2025-10-10,0,18,78.4
2025-10-11,0.5,18.4,80.4
2025-10-12,12.4,17.1,91
2025-10-13,2.3,17.6,78.3
2025-10-14,0,15.4,76.5
2025-10-15,0,17.7,71.6
2025-10-16,5.4,17.2,88.2
2025-10-17,5.6,17.5,93.7
2025-10-18,13.5,13.9,98.8
2025-10-19,0.6,10.4,89.8
2025-10-20,0,12.9,74.8
2025-10-21,0,14.8,70.5
2025-10-22,0,16.9,66.6
2025-10-23,0,17.8,63.5
2025-10-24,0,18.7,59.7
2025-10-25,1.9,20.1,69.3
2025-10-26,7.1,16.2,99.5
2025-10-27,3,15.6,94.9
2025-10-28,21.3,12.8,95.1
2025-10-29,19.5,11.9,99.6
2025-10-30,4.7,13.4,95.9
2025-10-31,2.5,14.5,92.6
2025-11-01,0.1,18.5,76.5
2025-11-02,7.5,18.4,93.3
2025-11-03,10.7,16.8,93.9
2025-11-04,0.1,21.1,77.9
2025-11-05,2.3,18.6,83.1
2025-11-06,0.6,14.5,76.2
2025-11-07,71.4,12.7,93.2
2025-11-08,7.1,12.7,98.3
2025-11-09,0,13.4,84
2025-11-10,0,14.6,71.7
2025-11-11,0.1,17.2,68.2
2025-11-12,5.2,19.3,82.7